system:index,area_ha,dNBR,fire_class,fire_date_str,fire_year,nbr_post,nbr_post2,nbr_post3,nbr_pre,sensor,severity,.geo
000000000000000001d3,0.2,0.0,소규모,2011-04-17,2011,-9999.0,0.041524871700753,0.144641599006619,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.201407132601,37.5816068973135]}"
0000000000000000032c,0.2,0.0,소규모,2011-02-01,2011,-9999.0,0.13368575088715312,0.18942805506027896,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.84510512427224,37.78064779103615]}"
000000000000000000c1,0.3,0.0,소규모,2011-01-22,2011,-9999.0,0.12373544372861985,0.21150823664947713,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.84722765637366,37.77362024777593]}"
000000000000000000ce,0.3,0.0,소규모,2011-04-01,2011,-9999.0,0.18139403010558816,0.14589503002120682,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.69411550350148,37.374066956982965]}"
000000000000000001c9,0.3,0.0,소규모,2011-04-17,2011,-9999.0,0.0909456304803216,0.13807375357868254,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.07769383297418,38.020868482987396]}"
00000000000000000565,0.3,0.0,소규모,2011-02-11,2011,-9999.0,0.09105667465816755,0.1290078095471644,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.1759278291816,37.800049339719706]}"
00000000000000000604,0.3,0.0,소규모,2011-03-09,2011,-9999.0,0.07436506536955409,0.1142866191635964,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.96566783720847,37.932056567305914]}"
00000000000000000624,0.3,0.0,소규모,2011-03-12,2011,-9999.0,0.02002990756781972,0.08479289817615553,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.0581808067643,37.056864344445046]}"
000000000000000000f4,0.5,0.0,소규모,2011-04-01,2011,-9999.0,0.3277493207524041,0.21401008198345864,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.12250134170603,37.3230682182347]}"
000000000000000001ad,0.5,0.0,소규모,2011-04-13,2011,-9999.0,0.15554935341888995,0.12856321428838918,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.72685622119013,37.81100981010908]}"
000000000000000001f2,0.6,0.0,소규모,2011-04-20,2011,-9999.0,0.029950309281147527,0.13010797977138677,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.14834828916605,37.61614263497243]}"
00000000000000000065,0.7,0.0,소규모,2011-03-24,2011,-9999.0,0.24933137092306804,0.15756330082579784,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.7565137022966,38.133893317389095]}"
00000000000000000600,2.0,0.0,소규모,2011-03-09,2011,-9999.0,0.013510002796387371,0.10683150960380297,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.51365122476747,37.16073018528295]}"
0000000000000000034e,6.0,-9999.07920808871,소규모,2012-04-19,2012,0.07920808870986078,0.1577079879857789,0.19716841047609995,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.936344788681,37.770307135693216]}"
000000000000000003fc,1.6,-9999.059243297128,소규모,2012-06-03,2012,0.059243297128313034,0.1037868849200312,0.06160358490726386,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.08222181829767,37.627397406031335]}"
00000000000000000358,0.01,-9999.173700524876,소규모,2012-04-30,2012,0.1737005248760745,0.1426253296579902,0.12098021364168682,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.76037974290993,37.753023660010065]}"
0000000000000000035b,0.01,-9999.324513754967,소규모,2012-04-24,2012,0.32451375496713636,0.2456568507365949,0.23509318667774123,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.05564603961176,37.57923465555307]}"
00000000000000000376,0.01,-9999.111014642102,소규모,2012-05-06,2012,0.11101464210078914,0.11802007683031988,0.1958660568950629,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.9401662382838,37.76586141194293]}"
000000000000000003a7,0.01,-9999.106971339444,소규모,2012-05-27,2012,0.10697133944497389,0.13724125140752416,0.26645046907325665,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.93899795380783,37.77334824261167]}"
000000000000000003aa,0.01,-9999.27687533594,소규모,2012-05-27,2012,0.2768753359388948,0.19147673543678745,0.24260246433939367,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.05124490687197,37.43014907093216]}"
000000000000000003b9,0.01,-9999.12742520056,소규모,2012-05-28,2012,0.1274252005598635,0.13918447263813968,0.2242436822851421,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.75226218123842,37.43260157651155]}"
000000000000000003bf,0.01,-9999.038963596477,소규모,2012-05-28,2012,0.03896359647578098,0.08739473104804961,0.2138405202625575,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.06262207141353,37.617252951134745]}"
000000000000000003d1,0.01,-9999.099975314257,소규모,2012-05-29,2012,0.09997531425686519,0.08851460045926944,0.2126676405386319,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.76335396331258,37.250986849705754]}"
000000000000000003e4,0.01,-9999.174777504315,소규모,2012-05-30,2012,0.17477750431504605,0.1268586866852529,0.19714063811933394,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.98518978162046,38.147333047964175]}"
