stn_id,name,lat,lon,ndvi_mean,SLTP_CD,TPGRP_TPCD,CLZN_CD_x,PRRCK_LARG,SOIL_DRNGE,LOCTN_GRDN,ALTTD_CD,WASH_CD,SLANT_TYP,EIGHT_CD,WIND_EXDGR,WTEFF_DGR,VLDTY_SLDP,KOFTR_CD,AVRG_FRAG,토양형,지형,기후대,모암대,배수,침식,경사형,사면방위,바람노출,풍화정도,수종,산사태등급,산사태위험도,RPRSN_KOFT,KOFTR_LIST,KOFTR_LI_1,CLZN_CD_y,BROAD,label_맞춤,dist_맞춤,FROR_CD,FRTP_CD,AGCLS_CD,DNST_CD,label_임상,dist_임상,label,label_name,추천수종_적지,추천수종_가능
321,원통,38.1147,128.1963,0.4812357142857143,3.0,5.0,1.0,3.0,2.0,15.4,4.0,1.0,2.0,410.0,3.0,1.0,37.0,11005.0,9.0,갈색적윤,산록,온대북부,변성암,보통,없음,평행사면,북동,보호,상,강원소나무,3.0,3등급(보통),,,,,,,,,,,,,,0,자연복원,,
322,상서,38.23158,127.68573,0.5754517857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,자연복원,,
323,마현,38.27268,127.52551,0.3673142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,인공조림,,
325,백운,37.14449,128.02526,0.5390232142857142,1.0,1.0,2.0,3.0,2.0,24.7,7.0,1.0,1.0,320.0,1.0,3.0,24.0,12017.0,14.0,갈색건조,산정,온대중부,변성암,보통,없음,상승사면,남서,노출,하,상수리나무,,,,,,,,,,,,,,,,0,자연복원,,
326,용문산,37.54553,127.61126,0.5996642857142859,2.0,3.0,2.0,3.0,3.0,20.0,4.0,1.0,2.0,300.0,2.0,2.0,27.0,11019.0,13.0,갈색약건,산복,온대중부,변성암,양호,없음,평행사면,남,보통,중,잣나무,,,,,,,,,,,,,,,,0,자연복원,,
347,귀래,37.22755,127.85685,0.585432142857143,3.0,5.0,2.0,1.0,2.0,15.3,2.0,1.0,3.0,320.0,3.0,1.0,25.0,12017.0,16.0,갈색적윤,산록,온대중부,화성암,보통,없음,하강사면,남서,보호,상,상수리나무,,,,,,,,,,,,,,,,0,자연복원,,
348,하조대,38.02572,128.71678,0.2631035714285714,6.0,7.0,2.0,1.0,3.0,1.1,1.0,1.0,2.0,410.0,1.0,1.0,36.0,11005.0,14.0,적색계갈색약건,구릉지,온대중부,화성암,양호,없음,평행사면,북동,노출,상,강원소나무,,,,,,,,,,,,,,,,1,인공조림,,
349,시동,37.59997,127.84308,0.6739,97.0,,,,,10.1,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,2.0,2등급(위험),,,,,,,,,,,,,,0,자연복원,,
350,조침령,37.99534,128.49556,0.5445107142857143,93.0,,,,,9.8,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,자연복원,,
447,북내,37.32904,127.67911,0.4394660714285713,1.0,1.0,2.0,1.0,2.0,18.0,3.0,1.0,1.0,320.0,1.0,3.0,24.0,,0.0,갈색건조,산정,온대중부,화성암,보통,없음,상승사면,남서,노출,하,,,,,,,,,,,,,,,,,1,인공조림,,
455,경기가평,37.84598,127.50083,0.4832428571428572,2.0,3.0,2.0,3.0,2.0,13.4,2.0,1.0,2.0,410.0,2.0,2.0,25.0,11019.0,11.0,갈색약건,산복,온대중부,변성암,보통,없음,평행사면,북동,보통,중,잣나무,,,,,,,,,,,,,,,,0,자연복원,,
463,흥천,37.33268,127.54146,0.3900589285714287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,인공조림,,
464,점동,37.20611,127.66273,0.3894142857142857,2.0,7.0,2.0,1.0,2.0,10.7,2.0,1.0,3.0,100.0,2.0,2.0,28.0,11005.0,14.0,갈색약건,구릉지,온대중부,화성암,보통,없음,하강사면,동,보통,중,강원소나무,,,,,,,,,,,,,,,,1,인공조림,,
465,가남,37.20173,127.54506,0.3389303571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,인공조림,,
466,금사,37.39255,127.53332,0.4544125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,자연복원,,
497,삽당령,37.57516,128.85147,0.6117482142857146,3.0,5.0,1.0,1.0,3.0,5.2,8.0,1.0,2.0,100.0,3.0,2.0,34.0,11017.0,22.0,갈색적윤,산록,온대북부,화성암,양호,없음,평행사면,동,보호,중,낙엽송,,,,,,,,,,,,,,,,0,자연복원,,
498,구룡령,37.87925,128.51447,0.5578392857142859,2.0,3.0,1.0,3.0,3.0,29.3,1.0,1.0,3.0,310.0,2.0,3.0,22.0,12018.0,16.0,갈색약건,산복,온대북부,변성암,양호,없음,하강사면,남동,보통,하,신갈나무,,,,,,,,,,,,,,,,0,자연복원,,
517,간성,38.3851,128.47523,0.4459517857142857,2.0,5.0,1.0,1.0,2.0,8.3,1.0,1.0,2.0,310.0,2.0,2.0,24.0,11005.0,16.0,갈색약건,산록,온대북부,화성암,보통,없음,평행사면,남동,보통,중,강원소나무,,,,,,,,,,,,,,,,1,인공조림,,
518,해안,38.26958,128.1211,0.3707875,2.0,3.0,1.0,3.0,2.0,17.1,7.0,1.0,2.0,420.0,2.0,2.0,25.0,,0.0,갈색약건,산복,온대북부,변성암,보통,없음,평행사면,북서,보통,중,,,,,,,,,,,,,,,,,1,인공조림,,
